description,alternatives,year,subject,ground_truth,index_question
"Questão 17) Uma das mais contundentes críticas ao discurso da aptidão física relacionada à saúde está no caráter eminentemente individual de suas propostas, o que serve para obscurecer outros determinantes da saúde. Ou seja, costuma-se apresentar o indivíduo como o problema e a mudança do estilo de vida como a solução. Argumenta-se ainda que o movimento da aptidão física relacionada à saúde considera a existência de uma cultura homogênea na qual todos seriam livres para escolher seus estilos de vida, o que não condiz com a realidade. O fato é que vivemos numa sociedade dividida em classes sociais, na qual nem todas as pessoas têm condições econômicas para adotar um estilo de vida ativo e saudável. Há desigualdades estruturais com raízes políticas, econômicas e sociais que dificultam a adoção desses estilos de vida.
FERREIRA, M. S. Aptidão física e saúde na educação física escolar: ampliando o enfoque. Com base no texto, a relação entre saúde e estilos de vida","['A) constrói a ideia de que a mudança individual de hábitos promove a saúde.', 'B) considera a homogeneidade da escolha de hábitos saudáveis pelos indivíduos.', 'C) reforça a necessidade de solucionar os problemas de saúde da sociedade com a prática de exercícios.', 'D) problematiza a organização social e seu impacto na mudança de hábitos dos indivíduos.', 'E) reproduz a noção de que a melhoria da aptidão física pela prática de exercícios promove a saúde.']",2020,"Linguagens, códigos e suas tecnologias",D,22
"Questão 19) Senhor Juiz O instrumento do “crime” que se arrola Nesse processo de contravenção Não é faca, revólver ou pistola, Simplesmente, doutor, é um violão.
Será crime, afinal, será pecado, Será delito de tão vis horrores, Perambular na rua um desgraçado Derramando nas praças suas dores? Mande, pois, libertá-lo da agonia (a consciência assim nos insinua) Não sufoque o cantar que vem da rua, Que vem da noite para saudar o dia.
É o apelo que aqui lhe dirigimos, Na certeza do seu acolhimento Juntada desta aos autos nós pedimos E pedimos, enfim, deferimento.
Essa petição de habeas corpus, ao transgredir o rigor da linguagem jurídica,","['A) permite que a narrativa seja objetiva e repleta de sentidos denotativos.', 'B) mostra que o cordel explora termos próprios da esfera do direito.', 'C) demonstra que o jogo de linguagem proposto atenua a gravidade do delito.', 'D) exemplifica como o texto em forma de cordel compromete a solicitação pretendida.', 'E) esclarece que os termos “crime” e “processo de contravenção” são sinônimos.']",2020,"Linguagens, códigos e suas tecnologias",C,24
"Questão 21) Sou o coração do folclore nordestino Eu sou Mateus e Bastião do Boi-bumbá Sou o boneco de Mestre Vitalino Dançando uma ciranda em Itamaracá Eu sou um verso de Carlos Pena Filho Num frevo de Capiba Ao som da Orquestra Armorial Sou Capibaribe Num livro de João Cabral Sou mamulengo de São Bento do Una Vindo no baque solto de maracatu Eu sou um auto de Ariano Suassuna No meio da Feira de Caruaru Sou Frei Caneca do Pastoril do Faceta Levando a flor da lira Pra Nova Jerusalém Sou Luiz Gonzaga E sou do mangue também Eu sou mameluco, sou de Casa Forte Sou de Pernambuco, sou o Leão do Norte LENINE; PINHEIRO, P.C. Leão do Norte. In: LENINE; SUZANO, M. Olho de peixe. São Paulo: Velas, 1993 (fragmento).
O fragmento faz parte da canção brasileira contemporânea e celebra a cultura popular nordestina. Nele, o artista exalta as diferentes manifestações culturais pela","['A) valorização do teatro, música, artesanato, literatura, dança, personagens históricos e artistas populares, compondo um tecido diversificado e enriquecedor da cultura popular como patrimônio regional e nacional.', 'B) identificação dos lugares pernambucanos, manifestações culturais, como o bumba meu boi, as cirandas, os bonecos mamulengos e heróis locais, fazendo com que essa canção se apresente como uma referência à cultura popular nordestina.', 'C) exaltação das raízes populares, como a poesia, a literatura de cordel e o frevo, misturadas ao erudito, como a Orquestra Armorial, compondo um rico tecido cultural, que transforma o popular em erudito.', 'D) caracterização das festas populares como identidade cultural localizada e como representantes de uma cultura que reflete valores históricos e sociais próprios da população local.', 'E) apresentação do Pastoril do Faceta, do maracatu, do bumba meu boi e dos autos como representação da musicalidade e do teatro popular religioso, bastante comum ao folclore brasileiro.']",2020,"Linguagens, códigos e suas tecnologias",B,26
"Questão 23) Eu tenho empresas e sou digno do visto para ir a Nova York. O dinheiro que chove em Nova York é para pessoas com poder de compra. Pessoas que tenham um visto do consulado americano. O dinheiro que chove em Nova York também é para os nova-iorquinos. São milhares de dólares. [...] Estou indo para Nova York, onde está chovendo dinheiro. Sou um grande administrador. Sim, está chovendo dinheiro em Nova York. Deu no rádio. Vejo que há pedestres invadindo a via onde trafega o meu carro vermelho, importado da Alemanha. Vejo que há carros nacionais trafegando pela via onde trafega o meu carro vermelho, importado da Alemanha. Ao chegar em Nova York, tomarei providências.
SANT’ANNA, A. O importado vermelho de Noé. In: MORICONI, I. (Org.). Os cem melhores contos. Rio de Janeiro: Objetiva, 2001.
As repetições e as frases curtas constituem procedimentos linguísticos importantes para a compreensão da temática do texto, pois","['A) expressam a futilidade do discurso de poder e de distinção do narrador.', 'B) disfarçam a falta de densidade das angústias existenciais narradas.', 'C) ironizam a valorização da cultura norte-americana pelos brasileiros.', 'D) explicitam a ganância financeira do capitalismo contemporâneo.', 'E) criticam os estereótipos sociais das visões de mundo elitistas.']",2020,"Linguagens, códigos e suas tecnologias",A,28
"Questão 24) DECRETO N. 28 314, DE 28 DE SETEMBRO DE 2007 Demite o Gerúndio do Distrito Federal e dá outras providências.
O GOVERNADOR DO DISTRITO FEDERAL, no uso das atribuições que lhe confere o artigo 100, incisos VII e XXVI, da Lei Orgânica do Distrito Federal, DECRETA: Art. 1° Fica demitido o Gerúndio de todos os órgãos do Governo do Distrito Federal.
Art. 2° Fica proibido, a partir desta data, o uso do gerúndio para desculpa de INEFICIÊNCIA.
Art. 3° Este Decreto entra em vigor na data de sua publicação.
Art. 4º Revogam-se as disposições em contrário.
Brasília, 28 de setembro de 2007.
119º da República e 48º de Brasília Esse decreto pauta-se na ideia de que o uso do gerúndio, como “desculpa de ineficiência”, indica","['A) conclusão de uma ação.', 'B) realização de um evento.', 'C) repetição de uma prática.', 'D) continuidade de um processo.', 'E) transferência de responsabilidade.']",2020,"Linguagens, códigos e suas tecnologias",D,29
"Questão 27) Caminhando contra o vento, Sem lenço e sem documento No sol de quase dezembro Eu vou O sol se reparte em crimes Espaçonaves, guerrilhas Em cardinales bonitas Eu vou Em caras de presidentes Em grandes beijos de amor Em dentes, pernas, bandeiras Bombas e Brigitte Bardot O sol nas bancas de revista Me enche de alegria e preguiça Quem lê tanta notícia Eu vou VELOSO, C. Alegria, alegria. In: Caetano Veloso. São Paulo: Phillips, 1967 (fragmento). É comum coexistirem sequências tipológicas em um mesmo gênero textual. Nesse fragmento, os tipos textuais que se destacam na organização temática são","['A) descritivo e argumentativo, pois o enunciador detalha cada lugar por onde passa, argumentando contra a violência urbana.', 'B) dissertativo e argumentativo, pois o enunciador apresenta seu ponto de vista sobre as notícias relativas à cidade.', 'C) expositivo e injuntivo, pois o enunciador fala de seus estados físicos e psicológicos e interage com a mulher amada.', 'D) narrativo e descritivo, pois o enunciador conta sobre suas andanças pelas ruas da cidade ao mesmo tempo que a descreve.', 'E) narrativo e injuntivo, pois o enunciador ensina o interlocutor como andar pelas ruas da cidade contando sobre sua própria experiência.']",2020,"Linguagens, códigos e suas tecnologias",D,32
"Questão 29) Seu delegado Eu sou viúvo e tenho um filho homem Arrumei uma viúva e fui me casar A minha sogra era muito teimosa Com o meu filho foi se matrimoniar Desse matrimônio nasceu um garoto Desde esse dia que eu ando é louco Esse garoto é filho do meu filho E o filho da minha sogra é irmão da minha mulher Ele é meu neto e eu sou cunhado dele A minha nora é minha sogra Meu filho meu sogro é Nessa confusão já nem sei quem sou Acaba esse garoto sendo meu avô.
TRIO FORROZÃO. Agitando a rapaziada. Rio de Janeiro: Natasha Records, 2009.
Nessa letra da canção, a suposição do último verso sinaliza a intenção do autor de","['A) ironizar as relações familiares modernas.', 'B) reforçar o humor da situação representada.', 'C) expressar perplexidade em relação ao parente.', 'D) atribuir à criança a causa da dúvida existencial.', 'E) questionar os lugares predeterminados da família.']",2020,"Linguagens, códigos e suas tecnologias",B,34
"Questão 31) Mulher tem coração clinicamente partido após morte de cachorro Como explica o The New England Journal of Medicine, a paciente, chamada Joanie Simpson, tinha sinais de infarto, como dores no peito e pressão alta, e apresentava problemas nas artérias coronárias. Ao fazerem um ecocardiograma, os médicos encontraram o problema: cardiomiopatia de Takotsubo, conhecida como síndrome do coração partido.
Essa condição médica tipicamente acontece com mulheres em fase pós-menstrual e pode ser precedida por um evento muito estressante ou emotivo. Nesses casos, o coração apresenta um movimento discinético transitório da parede anterior do ventrículo esquerdo, com acentuação da cinética da base ventricular, de acordo com um artigo médico brasileiro que relata um caso semelhante. Simpson foi encaminhada para casa após dois dias e passou a tomar medicamentos regulares. Ao Washington Post, ela contou que estava quase inconsolável após a perda do seu animal de estimação, um cão da raça yorkshire terrier. Recuperada após cerca de um ano, ela diz que não abrirá mão de ter um animal de estimação porque aprecia a companhia e o amor que os cachorros dão aos humanos. O caso aconteceu em Houston, nos Estados Unidos. Pelas características do texto lido, que trata das consequências da perda de um animal de estimação, considera-se que ele se enquadra no gênero","['A) conto, pois exibe a história de vida de Joanie Simpson.', 'B) depoimento, pois expõe o sofrimento da dona do animal.', 'C) reportagem, pois discute cientificamente a cardiomiopatia.', 'D) relato, pois narra um fato estressante vivido pela paciente.', 'E) notícia, pois divulga fatos sobre a síndrome do coração partido.']",2020,"Linguagens, códigos e suas tecnologias",E,36
"Questão 32) Chiquito tinha quase trinta quando conheceu Mariana num baile de casamento na Forquilha, onde moravam uns parentes dele. Por lá foi ficando, remanchando. Fez mal à moça, como costumavam dizer, tiveram de casar às pressas. Morou uns tempos com o sogro, descombinaram. Foi só conta de colher o milho e vender. Mudou pra casa do velho Chico Lourenço [seu pai]. Fumaça própria só viu subir um par de anos depois, quando o pai repartiu as terras. De tão parecidos, pai e filho nunca combinaram direito. Cada qual mais topetudo, muitas vezes dona Aparecida ouvia o marido reclamar da natureza forte do filho. Ela escutava com paciência e respondia dum jeito sempre igual: — “Quem herda, não rouba”. Vinha um brilho nos olhos, o velho se acalmava.
ROMANO, O. Casos de Minas. Rio de Janeiro: Paz e Terra, 1982. Os ditados populares são frases de sabedoria criadas pelo povo, utilizadas em várias situações da vida. Nesse texto, a personagem emprega um ditado popular com a intenção de","['A) criticar a natureza forte do filho.', 'B) justificar o gênio difícil de Chiquito.', 'C) legitimar o direito do filho à herança.', 'D) conter o ânimo violento de Chico Lourenço.', 'E) condenar a agressividade do marido contra o filho.']",2020,"Linguagens, códigos e suas tecnologias",B,37
"Questão 36) LUTA: prática corporal imprevisível, caracterizada por determinado estado de contato proposital, que possibilita a duas ou mais pessoas se enfrentarem numa constante troca de ações ofensivas e/ou defensivas, regida por regras, com o objetivo mútuo sobre um alvo móvel personifi cado no oponente.
GOMES, M. S. P. et al. Ensino das lutas: dos princípios condicionais aos grupos situacionais. De acordo com o texto, podemos identifi car uma abordagem das lutas nas aulas de educação física quando o professor realiza uma proposta envolvendo","['A) contato corporal intenso entre o aluno e seu oponente.', 'B) contenda entre os alunos que se agridem fi sicamente.', 'C) confronto corporal em que os vencedores são previamente identifi cados.', 'D) combate corporal intencional com ações regulamentadas entre os oponentes.', 'E) confl ito resolvido pelos alunos por meio de regras previamente estabelecidas.']",2020,"Linguagens, códigos e suas tecnologias",D,41
"Questão 38) Relatos de viagem: nas curvas da Nacional 222, em Portugal Em abril deste ano, fomos a Portugal para uma viagem de um mês que esperávamos há um ano. Pois no dia 4 de maio, chegávamos ao Aeroporto Francisco Sá Carneiro, no Porto. Que linda a “antiga, muy nobre, sempre leal e invicta” cidade do Porto! “Encantei-me”, diriam eles... pelas belas paisagens, construções históricas com lindas fachadas, parques e praças muito bem cuidados.
Os tripeiros, sinônimo de portuenses, têm orgulho de sua cidade, apelidada de Invicta — nunca foi invadida. E valorizam tudo o que há de bom ali, como “a melhor estrada para se dirigir do mundo”, a Nacional 222.
Pois na manhã do 25 de abril, dia da Revolução dos Cravos, resolvemos conhecer a tal maravilha. A cada 10 km tínhamos que encostar: corríamos, dançávamos, tomávamos chocolate quente, sopa, tudo que fosse quentinho. E lá íamos para mais uma etapa. Uma aventura deliciosa. Depois de três horas — mais ou menos o dobro do tempo necessário, não fossem as paradas para aquecimento —, chegamos a casa! Congelados, mas maravilhados e invictos! Nesse texto, busca-se seduzir o leitor por meio da exploração de uma voz externa sobre a identidade histórica do povo português. O trecho que evidencia esse procedimento argumentativo é","['A) “Que linda a ‘antiga, muy nobre, sempre leal e invicta’ cidade do Porto!”.', 'B) “‘Encantei-me’, diriam eles... pelas belas paisagens, construções históricas com lindas fachadas [...]”.', 'C) “Os tripeiros, sinônimo de portuenses, têm orgulho de sua cidade [...]”.', 'D) “E valorizam tudo o que há de bom ali, como ‘a melhor estrada para se dirigir do mundo’ [...]”.', 'E) “Pois na manhã do 25 de abril, dia da Revolução dos Cravos, resolvemos conhecer a tal maravilha”.']",2020,"Linguagens, códigos e suas tecnologias",A,43
"Questão 39) Hino à Bandeira Em teu seio formoso retratas Este céu de puríssimo azul, A verdura sem par destas matas, E o esplendor do Cruzeiro do Sul.
Contemplando o teu vulto sagrado, Compreendemos o nosso dever, E o Brasil por seus filhos amado, Poderoso e feliz há de ser! Sobre a imensa Nação Brasileira, Nos momentos de festa ou de dor, Paira sempre sagrada bandeira Pavilhão da justiça e do amor! Acesso em: 10 dez. 2017 (fragmento).
No Hino à Bandeira, a descrição é um recurso utilizado para exaltar o símbolo nacional na medida em que","['A) remete a um momento futuro.', 'B) promove a união dos cidadãos.', 'C) valoriza os seus elementos.', 'D) emprega termos religiosos.', 'E) recorre à sua história.']",2020,"Linguagens, códigos e suas tecnologias",C,44
"Questão 40) — O senhor pensa que eu tenho alguma fábrica de dinheiro? (O diretor diz essas coisas a ele, mas olha para todos como quem quer dar uma explicação a todos. Todas as caras sorriem.) Quando seu filho esteve doente, eu o ajudei como pude. Não me peça mais nada. Não me encarregue de pagar as suas contas: já tenho as minhas, e é o que me basta... (Risos.) O diretor tem o rosto escanhoado, a camisa limpa. A palavra possui um tom educado, de pessoa que convive com gente inteligente, causeuse. O rosto do Dr. Rist resplandece, vermelho e glabro. Um que outro tem os olhos no chão, a atitude discreta.
Naziazeno espera que ele lhe dê as costas, vá reatar a palestra interrompida, aquelas observações sobre a questão social, comunismo e integralismo.
MACHADO, D. Os ratos. São Paulo: Círculo do Livro, s/d.
A ficção modernista explorou tipos humanos em situação de conflito social. No fragmento do romancista gaúcho, esse conflito revela a","['A) sujeição moral amplificada pela pobreza.', 'B) crise econômica em expansão nas cidades.', 'C) falta de diálogo entre patrões e empregados.', 'D) perspicácia marcada pela formação intelectual.', 'E) tensão política gerada pelas ideologias vigentes.']",2020,"Linguagens, códigos e suas tecnologias",A,45
"Questão 41) Policarpo Quaresma, cidadão brasileiro, funcionário público, certo de que a língua portuguesa é emprestada ao Brasil; certo também de que, por esse fato, o falar e o escrever em geral, sobretudo no campo das letras, se veem na humilhante contingência de sofrer continuamente censuras ásperas dos proprietários da língua; sabendo, além, que, dentro do nosso país, os autores e os escritores, com especialidade os gramáticos, não se entendem no tocante à correção gramatical, vendo-se, diariamente, surgir azedas polêmicas entre os mais profundos estudiosos do nosso idioma — usando do direito que lhe confere a Constituição, vem pedir que o Congresso Nacional decrete o tupi-guarani como língua oficial e nacional do povo brasileiro.
BARRETO, L. Triste fim de Policarpo Quaresma.
Nessa petição da pitoresca personagem do romance de Lima Barreto, o uso da norma-padrão justifica-se pela","['A) situação social de enunciação representada.', 'B) divergência teórica entre gramáticos e literatos.', 'C) pouca representatividade das línguas indígenas.', 'D) atitude irônica diante da língua dos colonizadores.', 'E) tentativa de solicitação do documento demandado.']",2020,"Linguagens, códigos e suas tecnologias",A,46
"Questão 42) Atualmente os jovens estão imersos numa sociedade permeada pela tecnologia. Nesse contexto, os jogos digitais são artefatos muito empregados. Videogames ativos ou exergames foram introduzidos como forma de permitir que o corpo controlasse tais jogos. Como resultado, passaram a ser vistos como uma ferramenta auxiliar na adoção de um estilo de vida menos sedentário, com efeitos positivos sobre a saúde. Tem-se defendido que os exergames podem contribuir para a prática regular de atividade física moderada, bem como promover a interação entre jogadores, reduzindo o sentimento de isolamento social. Por outro lado, argumenta-se que os exergames não podem substituir a experiência real das práticas corporais, pois não motivam a longo prazo a prática permanente de atividades físicas.
FINCO, M. D.; REATEGUI, E. B.; ZARO, M. A. Laboratório de exergames: um espaço Pela sua interatividade, os exergames apresentam-se como possibilidade para estimular o(a)","['A) exercitação física, promovendo a saúde.', 'B) vivência de exercícios físicos sistemáticos.', 'C) envolvimento com atividades físicas ao longo da vida.', 'D) jogo por meio de comandos fornecidos pelo videogame.', 'E) disputa entre jogadores, contribuindo para o individualismo.']",2020,"Linguagens, códigos e suas tecnologias",A,47
"Questão 43) Quando quis agilizar o processo de seleção de novos alunos, a tradicional faculdade britânica de medicina St. George usou um software para definir quem deveria ser entrevistado. Ao reproduzir a forma como os funcionários faziam essa escolha, o programa eliminou, de cara, 60 de 2 000 candidatos. Só por causa do sexo ou da origem racial, numa dedução baseada em sobrenome e local de nascimento. Um estudo sobre o caso foi publicado em 1988, mas, 25 anos depois, outra pesquisa apontou que esse tipo de discriminação segue firme. O exemplo recente envolve o buscador do Google: ao digitar nomes comuns entre negros dos EUA, a chance de os anúncios automáticos oferecerem checagem de antecedentes criminais pode aumentar 25%. E pode piorar com a pergunta “detido?” logo após a palavra procurada.
O texto permite o desnudamento da sociedade ao relacionar as tecnologias de informação e comunicação com o(a)","['A) agilidade dos softwares.', 'B) passar dos anos.', 'C) linguagem.', 'D) preconceito.', 'E) educação.']",2020,"Linguagens, códigos e suas tecnologias",D,48
